-158.020959,21.32939928,,,,,,,,,,,,,,,,,,,,,,
0.01652,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,6,2,0,0,0,0,2,6,15,9,6,4,12,14
6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,5,0,0,0,1,2,4,6,8
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,0,12,11,10,9,8,7
0,0,0,1,2,4,6,8,10,12,14,12,10,8,6,4,7,6,5,4,3,2,1,0
0,1,2,3,4,5,6,7,8,9,6,2,0,0,0,0,6,5,4,3,2,2,1,1
6,7,8,9,6,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,6,5,4
15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,1,2,3,4,5,6,7
12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,3,4,5,6,5,4,3,2
6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,5,4,5,6,7,8,9,10,11
6,8,10,12,14,12,10,8,6,4,0,0,0,1,2,4,14,15,0,1,2,3,4,5
6,7,8,9,6,2,0,0,0,0,0,1,2,3,4,5,14,15,0,1,2,3,4,5
9,8,7,6,5,4,3,2,1,0,15,14,13,12,11,10,1,0,15,14,13,12,11,10
6,5,4,3,2,1,0,0,0,0,12,11,10,9,8,7,10,9,8,7,6,5,4,3
1,2,3,4,5,6,5,4,3,2,1,0,0,0,0,0,10,9,8,7,6,5,1,0
9,8,7,6,5,4,3,2,1,0,15,14,13,12,11,10,10,12,14,12,10,8,6,4
7,6,5,4,3,2,2,1,1,1,2,3,4,5,6,7,1,0,15,14,13,12,11,10
6,6,5,5,4,3,2,1,0,0,0,0,0,0,0,0,7,8,9,10,11,12,13,14
7,6,5,4,3,2,2,1,1,1,2,3,4,5,6,7,2,6,15,9,6,4,12,14
7,6,5,4,3,2,2,1,1,1,2,3,4,5,6,7,0,0,0,1,2,4,6,8
6,5,4,3,2,1,0,0,0,0,12,11,10,9,8,7,7,8,9,10,11,12,13,14
15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,12,14,13,15,1,4,5,6
1,2,3,4,5,6,5,4,3,2,1,0,0,0,0,0,4,5,6,7,8,9,10,11
